signal_date,market_score,pick_count,closed_count,day_return,cum_nav,day_type,filter_detail,skipped_count
2025-05-09,0,0,0,,,fused,"{'index_ret_20d': 0.09983021758153088, 'market_limit_up_count': 0, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-05-12,18,0,0,,,fused,"{'index_ret_20d': 0.09113604478153259, 'market_limit_up_count': 18, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-05-13,50,0,0,,,empty,,
2025-05-14,68,0,0,,,empty,,
2025-05-15,56,0,0,,,empty,,
2025-05-16,60,0,0,,,empty,,
2025-05-19,91,0,0,,,empty,,
2025-05-20,86,0,0,,,empty,,
2025-05-21,59,0,0,,,empty,,
2025-05-22,42,0,0,,,fused,"{'index_ret_20d': 0.01906146805189035, 'market_limit_up_count': 42, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-05-23,45,0,0,,,fused,"{'index_ret_20d': 0.006784481970352196, 'market_limit_up_count': 45, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-05-26,69,0,0,,,empty,,
2025-05-27,65,0,0,,,empty,,
2025-05-28,57,0,0,,,empty,,
2025-05-29,112,0,0,,,empty,,
2025-05-30,43,0,0,,,fused,"{'index_ret_20d': 0.02086583942320508, 'market_limit_up_count': 43, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-06-03,72,0,0,,,empty,,
2025-06-04,72,0,0,,,empty,,
2025-06-05,70,0,0,,,empty,,
2025-06-06,51,0,0,,,fused,"{'index_ret_20d': -0.0008496158784633279, 'market_limit_up_count': 51, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-06-09,74,4,4,-0.03149468600427323,0.9685053139957268,signal,,0.0
2025-06-10,52,0,0,,,fused,"{'index_ret_20d': -0.0009353930247796294, 'market_limit_up_count': 52, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-06-11,56,5,4,-0.06647704750423816,0.9041219402291257,signal,,1.0
2025-06-12,70,4,4,-0.003538455608963457,0.9009227448785351,signal,,0.0
2025-06-13,60,4,2,0.027702296359012973,0.9258803737537357,signal,,2.0
2025-06-16,60,4,4,-0.03867734814609467,0.8900697761964261,signal,,0.0
2025-06-17,49,0,0,,,fused,"{'index_ret_20d': 0.007568244380909528, 'market_limit_up_count': 49, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-06-18,46,0,0,,,fused,"{'index_ret_20d': -0.001729738137723924, 'market_limit_up_count': 46, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-06-19,36,0,0,,,fused,"{'index_ret_20d': -0.013691213615514508, 'market_limit_up_count': 36, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-06-20,46,0,0,,,fused,"{'index_ret_20d': -0.010964535221376859, 'market_limit_up_count': 46, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-06-23,77,4,4,0.019371758431929304,0.9073119928884646,signal,,0.0
2025-06-24,77,5,5,0.06143383237239917,0.9630516457690419,signal,,0.0
2025-06-25,74,5,3,-0.01670157652152433,0.9469671650130502,signal,,2.0
2025-06-26,69,4,4,0.012871339119971754,0.9591559005294115,signal,,0.0
2025-06-27,60,3,2,0.003729094131512468,0.9627326831692813,signal,,1.0
2025-06-30,81,4,4,-0.0707148829156789,0.8946531541998681,signal,,0.0
2025-07-01,68,3,3,-0.04734092223532105,0.8522994487993075,signal,,0.0
2025-07-02,63,3,3,0.04123737793142815,0.8874460432801924,signal,,0.0
2025-07-03,63,5,5,-0.05139553117682123,0.8418352824950386,signal,,0.0
2025-07-04,38,0,0,,,fused,"{'index_ret_20d': 0.025898913429478476, 'market_limit_up_count': 38, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-07-07,68,5,5,0.05937066875155887,0.8918156061954265,signal,,0.0
2025-07-08,69,5,5,0.006758992009683931,0.8978433807518129,signal,,0.0
2025-07-09,56,4,4,-0.05620504176664887,0.847380056036748,signal,,0.0
2025-07-10,65,5,5,-0.11357328579967221,0.7511403187515442,signal,,0.0
2025-07-11,65,4,3,-0.06261339421106384,0.7041088738657296,signal,,1.0
2025-07-14,66,4,4,0.022491130442538098,0.7199450783935923,signal,,0.0
2025-07-15,47,0,0,,,fused,"{'index_ret_20d': 0.049070678215696883, 'market_limit_up_count': 47, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-07-16,58,3,3,-0.02782211727764221,0.6999146819890645,signal,,0.0
2025-07-17,63,4,3,-0.04626166131705576,0.6675354660200515,signal,,1.0
2025-07-18,48,0,0,,,fused,"{'index_ret_20d': 0.09208677724864889, 'market_limit_up_count': 48, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-07-21,129,3,3,0.03386417760716384,0.6901410056004353,signal,,0.0
2025-07-22,113,5,5,-0.03799806566230962,0.6639169823533776,signal,,0.0
2025-07-23,57,4,3,-0.0036244352829802548,0.6615106582175662,signal,,1.0
2025-07-24,74,5,5,-0.06622652993437517,0.6177011028092123,signal,,0.0
2025-07-25,47,0,0,,,fused,"{'index_ret_20d': 0.0684526545351658, 'market_limit_up_count': 47, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-07-28,58,5,5,-0.009084658069832396,0.6120894995008322,signal,,0.0
2025-07-29,48,0,0,,,fused,"{'index_ret_20d': 0.06277542577640105, 'market_limit_up_count': 48, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-07-30,49,0,0,,,fused,"{'index_ret_20d': 0.06482273352305823, 'market_limit_up_count': 49, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-07-31,46,0,0,,,fused,"{'index_ret_20d': 0.050223266722773774, 'market_limit_up_count': 46, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-08-01,44,0,0,,,fused,"{'index_ret_20d': 0.05675916008324822, 'market_limit_up_count': 44, 'min_index_ret': 0.0, 'min_market_limit_up': 50}",
2025-08-04,56,4,4,0.0006627506820715053,0.6124951622341153,signal,,0.0
2025-08-05,54,4,3,0.037250363116765974,0.6353108294345986,signal,,1.0
2025-08-06,66,2,2,0.10462644044733602,0.7017811400959852,signal,,0.0
2025-08-07,64,2,2,0.021098968968922313,0.7165879985938454,signal,,0.0
2025-08-08,65,4,3,0.003358650883681586,0.7189947675085582,signal,,1.0
2025-08-11,84,3,3,0.045255327422178866,0.7515331111269914,signal,,0.0
2025-08-12,51,4,4,0.03618919397749404,0.7787304886660757,signal,,0.0
2025-08-13,101,1,1,0.07328525909776971,0.835799954295302,signal,,0.0
