signal_date,market_score,pick_count,closed_count,day_return,cum_nav,day_type
2025-05-09,60,0,0,,,empty
2025-05-12,60,0,0,,,empty
2025-05-13,60,0,0,,,empty
2025-05-14,60,0,0,,,empty
2025-05-15,60,0,0,,,empty
2025-05-16,60,0,0,,,empty
2025-05-19,60,0,0,,,empty
2025-05-20,60,0,0,,,empty
2025-05-21,60,0,0,,,empty
2025-05-22,60,0,0,,,empty
2025-05-23,60,0,0,,,empty
2025-05-26,60,0,0,,,empty
2025-05-27,40,0,0,,,fused
2025-05-28,40,0,0,,,fused
2025-05-29,40,0,0,,,fused
2025-05-30,40,0,0,,,fused
2025-06-03,40,0,0,,,fused
2025-06-04,40,0,0,,,fused
2025-06-05,60,0,0,,,empty
2025-06-06,40,0,0,,,fused
2025-06-09,60,0,0,,,empty
2025-06-10,40,0,0,,,fused
2025-06-11,60,0,0,,,empty
2025-06-12,60,0,0,,,empty
2025-06-13,40,0,0,,,fused
2025-06-16,60,0,0,,,empty
2025-06-17,40,0,0,,,fused
2025-06-18,60,0,0,,,empty
2025-06-19,40,0,0,,,fused
2025-06-20,40,0,0,,,fused
2025-06-23,40,0,0,,,fused
2025-06-24,60,0,0,,,empty
2025-06-25,60,0,0,,,empty
2025-06-26,60,0,0,,,empty
2025-06-27,60,5,5,-0.009615474648831827,0.9903845253511682,signal
2025-06-30,60,5,5,-0.012141291959464038,0.9783599776767444,signal
2025-07-01,60,5,5,-0.012972297360487777,0.9656684011207215,signal
2025-07-02,60,5,5,-0.0035577423065908734,0.9622328017959163,signal
2025-07-03,60,5,5,-0.027406326034063268,0.9358615359092273,signal
2025-07-04,60,5,5,0.04386619337716833,0.9769142190176752,signal
2025-07-07,60,5,5,-0.0003748288719198448,0.9765480433629983,signal
2025-07-08,60,5,5,-0.0056501709895747446,0.9710303799384626,signal
2025-07-09,60,5,5,-0.002401479638117089,0.9686984702530473,signal
2025-07-10,60,5,5,-0.012381692611265456,0.956704343561371,signal
2025-07-11,60,5,5,0.007763602853921367,0.964131816133403,signal
2025-07-14,60,5,5,0.0026197712982537094,0.9666576209930425,signal
2025-07-15,60,5,5,-0.00867571386020583,0.9582711760725197,signal
2025-07-16,60,5,5,-0.0013183633993315877,0.9570078264273513,signal
2025-07-17,60,5,5,0.02019611380053395,0.9763356653978797,signal
2025-07-18,60,5,5,-0.010099083906921616,0.9664755695917064,signal
2025-07-21,60,5,5,0.022121798837892233,0.9878557477239516,signal
2025-07-22,60,5,5,-0.016948225868224275,0.9711133453863025,signal
2025-07-23,60,5,5,0.028884587691149245,0.9991635539691583,signal
2025-07-24,60,5,5,0.005815345433318933,1.0049740351798717,signal
2025-07-25,60,5,5,0.011910163964239967,1.016943440718668,signal
2025-07-28,60,5,5,-0.009830688262123499,1.0069461867727514,signal
2025-07-29,60,5,5,0.009213036955978226,1.01622321920417,signal
2025-07-30,60,5,5,-0.01221200534615366,1.0038130958183633,signal
2025-07-31,60,5,5,-0.0011087940425384714,1.0027000738378977,signal
2025-08-01,40,0,0,,,fused
2025-08-04,60,5,5,0.010543234734282725,1.0132717760844532,signal
2025-08-05,60,5,5,0.012237807364039349,1.0256720008875928,signal
2025-08-06,60,5,5,0.003349286283430514,1.0291072700514643,signal
2025-08-07,60,5,5,0.012827353835020169,1.0423079931386061,signal
2025-08-08,60,5,5,0.0038454495249859557,1.04631613591571,signal
2025-08-11,60,5,5,0.0071258618912035995,1.0537720401947832,signal
2025-08-12,60,5,5,0.016095117785824876,1.0707326253011271,signal
2025-08-13,60,5,5,-0.02406141203449056,1.0449692864249849,signal
2025-08-14,60,5,5,-0.00448394502057345,1.0402837015964674,signal
2025-08-15,60,5,5,0.027826290200311306,1.0692309377677447,signal
2025-08-18,60,5,5,-0.006422059847579441,1.0623642726945166,signal
2025-08-19,60,5,5,0.006280368461827414,1.0690363117677193,signal
2025-08-20,60,5,5,0.014334415925537186,1.0843603229001,signal
2025-08-21,60,5,5,0.009188249424213786,1.094323696012627,signal
2025-08-22,60,5,5,0.02654137622317181,1.12336855293843,signal
2025-08-25,60,5,5,0.006336858628843198,1.1304871806464891,signal
2025-08-26,60,5,5,-0.029250488881542292,1.097419877938263,signal
2025-08-27,60,5,5,-0.016760942760942785,1.079026086179419,signal
2025-08-28,60,5,5,-0.025857142857142877,1.051125554522494,signal
2025-08-29,60,5,5,-0.006472241678861126,1.0443224158987974,signal
2025-09-01,60,5,5,-0.011957696817915003,1.031834725069327,signal
2025-09-02,60,5,5,-0.03185640270777197,0.9989641825396552,signal
2025-09-03,60,5,5,-0.03551878783713447,0.9634821856831327,signal
2025-09-04,60,5,5,0.018780486074022155,0.9815768494539232,signal
2025-09-05,60,5,5,0.020592632053525985,1.0017901003469871,signal
2025-09-08,60,5,5,-0.016246527777777808,0.985514489654197,signal
2025-09-09,60,5,5,-0.01428788432358459,0.9714335726268013,signal
2025-09-10,60,5,5,-0.005795377322275706,0.9658037485299026,signal
2025-09-11,60,5,5,-0.023686684073107055,0.9429270602618522,signal
2025-09-12,60,5,5,-0.03075401322780431,0.9139282689777045,signal
2025-09-15,60,5,5,-0.00012176907143901968,0.9138169807810292,signal
2025-09-16,60,5,5,-0.01383505394539519,0.9011742735557056,signal
2025-09-17,60,5,5,-0.014535509381125087,0.888075246448408,signal
2025-09-18,60,5,5,0.023766581207694558,0.9091817589116674,signal
2025-09-19,60,5,5,-0.013944755542340748,0.8965034415400889,signal
2025-09-22,60,5,5,-0.022861283643892373,0.8760082220753151,signal
2025-09-23,60,5,5,0.011827284918930533,0.8863690209091256,signal
2025-09-24,60,5,5,0.004015817608163335,0.8899285172306229,signal
2025-09-25,60,5,5,0.016012355206535402,0.904178368756945,signal
2025-09-26,60,5,5,-0.004880039448445059,0.8997659426489805,signal
2025-09-29,60,5,5,0.009987200761705414,0.908752085756761,signal
2025-09-30,60,5,5,-0.006310034002282081,0.9030178291959912,signal
2025-10-09,60,5,5,-0.02761570247933882,0.8780803574913763,signal
2025-10-10,60,5,5,0.0007674831279968194,0.8787542693507764,signal
2025-10-13,60,5,5,-0.009915041805541844,0.8700413840333651,signal
2025-10-14,40,0,0,,,fused
2025-10-15,60,5,5,-0.00774536613646108,0.8633025949601534,signal
2025-10-16,60,5,5,-0.02135392600162451,0.8448676952303638,signal
2025-10-17,40,0,0,,,fused
2025-10-20,40,0,0,,,fused
2025-10-21,60,5,5,0.02060243794935098,0.8622740294967586,signal
2025-10-22,60,5,5,-0.020695215791234504,0.8444290823851459,signal
2025-10-23,60,5,5,-0.004416880682426779,0.8406993398834797,signal
2025-10-24,60,5,5,-0.008222272746386105,0.8337868806132509,signal
2025-10-27,60,5,5,-0.00017254039313189563,0.8336430186970817,signal
2025-10-28,60,5,5,0.021967490843403333,0.8519560640769769,signal
2025-10-29,60,5,5,-0.011546750096921687,0.842118740311523,signal
2025-10-30,60,5,5,0.0009367759918325478,0.8429076169297192,signal
2025-10-31,60,5,5,0.0056025077523902565,0.8476300133881167,signal
2025-11-03,60,5,5,-0.018947036241785467,0.8315699368048269,signal
2025-11-04,40,0,0,,,fused
2025-11-05,40,0,0,,,fused
2025-11-06,60,5,5,-0.00020287537665028113,0.8314012317406866,signal
2025-11-07,60,5,5,0.018953796170844944,0.847159441223289,signal
2025-11-10,60,5,5,-0.011239537086507816,0.8376377612654746,signal
2025-11-11,60,5,5,-0.007554506322846452,0.8313098215017396,signal
2025-11-12,60,5,5,-0.017910494128892795,0.8164206518244418,signal
2025-11-13,60,5,5,-0.014220040754141244,0.8048111168829756,signal
2025-11-14,40,0,0,,,fused
2025-11-17,40,0,0,,,fused
2025-11-18,40,0,0,,,fused
2025-11-19,40,0,0,,,fused
2025-11-20,40,0,0,,,fused
2025-11-21,40,0,0,,,fused
2025-11-24,40,0,0,,,fused
2025-11-25,40,0,0,,,fused
2025-11-26,40,0,0,,,fused
2025-11-27,40,0,0,,,fused
2025-11-28,40,0,0,,,fused
2025-12-01,40,0,0,,,fused
2025-12-02,40,0,0,,,fused
2025-12-03,40,0,0,,,fused
2025-12-04,40,0,0,,,fused
